"","PROV","fecha","num_def","num_casos","num_hosp","num_uci"
"1","01","2020-01-01",0,0,0,0
"2","02","2020-01-01",0,0,0,0
"3","03","2020-01-01",0,0,0,0
"4","04","2020-01-01",0,0,0,0
"5","05","2020-01-01",0,0,0,0
"6","06","2020-01-01",0,0,0,0
"7","07","2020-01-01",0,0,0,0
"8","08","2020-01-01",0,0,0,0
"9","09","2020-01-01",0,0,0,0
"10","10","2020-01-01",0,0,0,0
"11","11","2020-01-01",0,0,0,0
"12","12","2020-01-01",0,0,1,0
"13","13","2020-01-01",0,0,0,0
"14","14","2020-01-01",0,0,1,0
"15","15","2020-01-01",0,0,0,0
"16","16","2020-01-01",0,0,0,0
"17","17","2020-01-01",0,0,1,0
"18","18","2020-01-01",0,0,0,0
"19","19","2020-01-01",0,0,0,0
"20","20","2020-01-01",0,0,0,0
"21","21","2020-01-01",0,0,0,0
"22","22","2020-01-01",0,0,0,0
"23","23","2020-01-01",0,0,1,0
"24","24","2020-01-01",0,0,0,0
"25","25","2020-01-01",0,0,0,0
"26","26","2020-01-01",0,0,0,0
"27","27","2020-01-01",0,0,1,0
"28","28","2020-01-01",0,0,1,0
"29","29","2020-01-01",0,0,0,0
"30","30","2020-01-01",0,0,0,0
"31","31","2020-01-01",0,0,0,0
"32","32","2020-01-01",0,0,0,0
"33","33","2020-01-01",0,0,0,0
"34","34","2020-01-01",0,0,0,0
"35","35","2020-01-01",0,0,0,0
"36","36","2020-01-01",0,0,0,0
"37","37","2020-01-01",0,0,0,0
"38","38","2020-01-01",0,0,0,0
"39","39","2020-01-01",0,0,0,0
"40","40","2020-01-01",0,0,0,0
"41","41","2020-01-01",0,0,1,0
"42","42","2020-01-01",0,0,0,0
"43","43","2020-01-01",0,0,0,0
"44","44","2020-01-01",0,0,0,0
"45","45","2020-01-01",0,0,0,0
"46","46","2020-01-01",0,0,1,0
"47","47","2020-01-01",0,0,0,0
"48","48","2020-01-01",0,0,0,0
"49","49","2020-01-01",0,0,0,0
"50","50","2020-01-01",0,0,0,0
"51","51","2020-01-01",0,0,0,0
"52","52","2020-01-01",0,0,0,0
"53","01","2020-01-02",0,0,0,0
"54","02","2020-01-02",0,0,0,0
"55","03","2020-01-02",0,0,0,0
"56","04","2020-01-02",0,0,1,0
"57","05","2020-01-02",0,0,0,0
"58","06","2020-01-02",0,0,0,0
"59","07","2020-01-02",0,0,0,0
"60","08","2020-01-02",0,0,2,0
"61","09","2020-01-02",0,0,0,0
"62","10","2020-01-02",0,0,0,0
"63","11","2020-01-02",0,0,0,0
"64","12","2020-01-02",0,0,1,0
"65","13","2020-01-02",0,0,0,0
"66","14","2020-01-02",0,0,0,0
"67","15","2020-01-02",0,0,0,0
"68","16","2020-01-02",0,0,0,0
"69","17","2020-01-02",0,0,0,0
"70","18","2020-01-02",0,0,0,0
"71","19","2020-01-02",0,0,0,0
"72","20","2020-01-02",0,0,3,0
"73","21","2020-01-02",0,0,0,0
"74","22","2020-01-02",0,0,0,0
"75","23","2020-01-02",0,0,0,0
"76","24","2020-01-02",0,0,0,0
"77","25","2020-01-02",0,0,0,0
"78","26","2020-01-02",0,0,0,0
"79","27","2020-01-02",0,0,0,0
"80","28","2020-01-02",0,0,3,1
"81","29","2020-01-02",0,0,1,0
"82","30","2020-01-02",0,0,0,0
"83","31","2020-01-02",0,0,0,0
"84","32","2020-01-02",0,0,0,0
"85","33","2020-01-02",0,0,0,0
"86","34","2020-01-02",0,0,0,0
"87","35","2020-01-02",0,0,0,0
"88","36","2020-01-02",0,0,0,0
"89","37","2020-01-02",0,0,0,0
"90","38","2020-01-02",0,0,0,0
"91","39","2020-01-02",0,0,0,0
"92","40","2020-01-02",0,0,0,0
"93","41","2020-01-02",0,0,3,0
"94","42","2020-01-02",0,0,0,0
"95","43","2020-01-02",0,0,59,0
"96","44","2020-01-02",0,0,0,0
"97","45","2020-01-02",0,0,0,0
"98","46","2020-01-02",0,0,2,0
"99","47","2020-01-02",0,0,0,0
"100","48","2020-01-02",0,0,0,0
"101","49","2020-01-02",0,0,0,0
"102","50","2020-01-02",0,0,0,0
"103","51","2020-01-02",0,0,0,0
"104","52","2020-01-02",0,0,0,0
"105","01","2020-01-03",0,0,0,0
"106","02","2020-01-03",0,0,0,0
"107","03","2020-01-03",0,0,0,0
"108","04","2020-01-03",0,0,0,0
"109","05","2020-01-03",0,0,0,0
"110","06","2020-01-03",0,0,0,0
"111","07","2020-01-03",0,0,0,0
"112","08","2020-01-03",0,0,1,0
"113","09","2020-01-03",0,0,0,0
"114","10","2020-01-03",0,0,0,0
"115","11","2020-01-03",0,0,0,0
"116","12","2020-01-03",0,0,0,0
"117","13","2020-01-03",0,0,0,0
"118","14","2020-01-03",0,0,0,0
"119","15","2020-01-03",0,0,0,0
"120","16","2020-01-03",0,0,0,0
"121","17","2020-01-03",0,0,0,0
"122","18","2020-01-03",0,0,0,0
"123","19","2020-01-03",0,0,0,0
"124","20","2020-01-03",0,0,0,0
"125","21","2020-01-03",0,0,1,0
"126","22","2020-01-03",0,0,0,0
"127","23","2020-01-03",0,0,0,0
"128","24","2020-01-03",0,0,0,0
"129","25","2020-01-03",0,0,0,0
"130","26","2020-01-03",0,0,0,0
"131","27","2020-01-03",0,0,0,0
"132","28","2020-01-03",0,0,3,1
"133","29","2020-01-03",0,0,1,0
"134","30","2020-01-03",0,0,0,0
"135","31","2020-01-03",0,0,0,0
"136","32","2020-01-03",0,0,0,0
"137","33","2020-01-03",0,0,0,0
"138","34","2020-01-03",0,0,0,0
"139","35","2020-01-03",0,0,0,0
"140","36","2020-01-03",0,0,0,0
"141","37","2020-01-03",0,0,0,0
"142","38","2020-01-03",0,0,0,0
"143","39","2020-01-03",0,0,0,0
"144","40","2020-01-03",0,0,0,0
"145","41","2020-01-03",0,0,0,0
"146","42","2020-01-03",0,0,0,0
"147","43","2020-01-03",0,0,0,0
"148","44","2020-01-03",0,0,0,0
"149","45","2020-01-03",0,0,0,0
"150","46","2020-01-03",0,0,1,0
"151","47","2020-01-03",0,0,0,0
"152","48","2020-01-03",0,0,0,0
"153","49","2020-01-03",0,0,0,0
"154","50","2020-01-03",0,0,0,0
"155","51","2020-01-03",0,0,0,0
"156","52","2020-01-03",0,0,0,0
"157","01","2020-01-04",0,0,0,0
"158","02","2020-01-04",0,0,0,0
"159","03","2020-01-04",0,0,0,0
"160","04","2020-01-04",0,0,1,0
"161","05","2020-01-04",0,0,0,0
"162","06","2020-01-04",0,0,0,0
"163","07","2020-01-04",0,0,0,0
"164","08","2020-01-04",0,0,1,0
"165","09","2020-01-04",0,0,0,0
"166","10","2020-01-04",0,0,0,0
"167","11","2020-01-04",0,0,0,0
"168","12","2020-01-04",0,0,0,0
"169","13","2020-01-04",0,0,0,0
"170","14","2020-01-04",0,0,0,0
"171","15","2020-01-04",0,0,0,0
"172","16","2020-01-04",0,0,0,0
"173","17","2020-01-04",0,0,0,0
"174","18","2020-01-04",0,0,0,0
"175","19","2020-01-04",0,0,0,0
"176","20","2020-01-04",0,0,0,0
"177","21","2020-01-04",0,0,0,0
"178","22","2020-01-04",0,0,0,0
"179","23","2020-01-04",0,0,0,0
"180","24","2020-01-04",0,0,0,0
"181","25","2020-01-04",0,0,1,0
"182","26","2020-01-04",0,0,0,0
"183","27","2020-01-04",0,0,0,0
"184","28","2020-01-04",0,0,0,0
"185","29","2020-01-04",0,0,0,0
"186","30","2020-01-04",0,0,0,0
"187","31","2020-01-04",0,0,0,0
"188","32","2020-01-04",0,0,0,0
